年,月,製材用_まつ中丸太,製材用_すぎ小丸太,製材用_すぎ中丸太(小),製材用_すぎ中丸太(大),製材用_すぎ大丸太,製材用_ひのき中丸太,製材用_からまつ中丸太,合板用_すぎ丸太,合板用_ひのき丸太,合板用_からまつ丸太,チップ用_針葉樹丸太,チップ用_広葉樹丸太
2025,1,15400,13800,15400,15900,15300,24900,15300,13300,20900,18500,7800,10300
2025,2,15500,13900,15400,16000,15300,25200,15400,13400,20900,18800,7800,10400
2025,3,15400,14100,15500,16000,15300,25800,15500,13500,20600,18600,7800,10400
2025,4,14400,14100,15500,16000,15300,25600,15400,13500,20600,18500,7800,10500
2025,5,14200,14000,15200,15800,15300,25400,15400,13600,20900,18800,7800,10500
2025,6,13900,14000,15200,15800,15300,25000,15400,13500,20800,18900,7800,10600
2025,7,13900,14000,15200,15700,15200,25000,15400,13600,20500,19000,7900,10600
2025,8,13700,14000,15200,15700,15200,25600,15400,13600,20600,19000,7900,10600
2025,9,13900,14100,15500,15800,15400,25500,15400,13600,20700,18900,7900,10600
2025,10,14100,14100,15400,15800,15300,25100,15500,13600,20600,19300,7800,10600
2025,11,14500,14300,15300,15900,15300,25200,15500,13600,20700,19700,7900,10600
2025,12,15100,14300,15400,16100,15400,24800,15500,13700,20700,19800,7900,10600
2026,1,15800,14200,15400,16200,15700,24200,15600,13800,20700,19800,7900,10700
